model_family,feature_set,split,operating_selected_threshold,operating_best_f1,pr_auc,roc_auc,precision,recall,f1,threshold,prevalence,rows,illicit,licit
logistic_regression,dataset_only,operating,0.99440997838974,0.41600000000000004,0.3008375687733153,0.8797653060626516,0.3654618473895582,0.4827586206896552,0.416,0.99440997838974,0.0703883495145631,5356,377,4979
logistic_regression,dataset_only,test,0.99440997838974,0.41600000000000004,0.14923405188718658,0.8202145265180127,0.21772639691714837,0.4312977099236641,0.2893725992317542,0.99440997838974,0.05254186303018149,9973,524,9449
logistic_regression,graph_only,operating,0.65068369765972,0.287636669470143,0.1361141236923889,0.6996296913881805,0.2105911330049261,0.4535809018567639,0.287636669470143,0.65068369765972,0.0703883495145631,5356,377,4979
logistic_regression,graph_only,test,0.65068369765972,0.287636669470143,0.06633157070866605,0.604094883823887,0.08774928774928775,0.29389312977099236,0.13514699429574376,0.65068369765972,0.05254186303018149,9973,524,9449
logistic_regression,combined,operating,0.9955190583532366,0.42630937880633374,0.31913455822412684,0.8811712108628121,0.39414414414414417,0.46419098143236076,0.42630937880633374,0.9955190583532366,0.0703883495145631,5356,377,4979
logistic_regression,combined,test,0.9955190583532366,0.42630937880633374,0.15390913942016735,0.8234453098554797,0.23516720604099245,0.41603053435114506,0.3004824259131633,0.9955190583532366,0.05254186303018149,9973,524,9449
random_forest,dataset_only,operating,0.5195547172860426,0.8814055636896047,0.8760060816738552,0.9596927786357875,0.9836601307189542,0.7984084880636605,0.8814055636896047,0.5195547172860426,0.0703883495145631,5356,377,4979
random_forest,dataset_only,test,0.5195547172860426,0.8814055636896047,0.6387710904397955,0.8732894308457053,0.9442622950819672,0.549618320610687,0.6948130277442702,0.5195547172860426,0.05254186303018149,9973,524,9449
random_forest,graph_only,operating,0.03432617333209501,0.15223962627095358,0.09393668047292808,0.5630635406106177,0.08491722869405273,0.7347480106100795,0.15223962627095355,0.03432617333209501,0.0703883495145631,5356,377,4979
random_forest,graph_only,test,0.03432617333209501,0.15223962627095358,0.06282055352923119,0.5838796908110151,0.06695180128310578,0.7767175572519084,0.12327729819778889,0.03432617333209501,0.05254186303018149,9973,524,9449
random_forest,combined,operating,0.5467971938627789,0.8807069219440353,0.8786784654957989,0.9655950216372957,0.9900662251655629,0.7931034482758621,0.8807069219440353,0.5467971938627789,0.0703883495145631,5356,377,4979
random_forest,combined,test,0.5467971938627789,0.8807069219440353,0.6407940645969652,0.8808814131953056,0.9602649006622517,0.5534351145038168,0.7021791767554479,0.5467971938627789,0.05254186303018149,9973,524,9449
xgboost,dataset_only,operating,0.8872209191322327,0.8777614138438882,0.8821429918605395,0.9637810368534582,0.9867549668874173,0.7904509283819628,0.8777614138438881,0.8872209191322327,0.0703883495145631,5356,377,4979
xgboost,dataset_only,test,0.8872209191322327,0.8777614138438882,0.6474122796943252,0.8730052616739603,0.928125,0.566793893129771,0.7037914691943128,0.8872209191322327,0.05254186303018149,9973,524,9449
xgboost,graph_only,operating,0.6725027561187744,0.2122186495176849,0.11045379806895213,0.6607891073543365,0.1522491349480969,0.35013262599469497,0.21221864951768488,0.6725027561187744,0.0703883495145631,5356,377,4979
xgboost,graph_only,test,0.6725027561187744,0.2122186495176849,0.061283612018083425,0.5905036398698034,0.06628870475359791,0.2900763358778626,0.10791622293219737,0.6725027561187744,0.05254186303018149,9973,524,9449
xgboost,combined,operating,0.8887988328933716,0.8755490483162518,0.8813981297134024,0.9638684064583185,0.9771241830065359,0.7931034482758621,0.8755490483162518,0.8887988328933716,0.0703883495145631,5356,377,4979
xgboost,combined,test,0.8887988328933716,0.8755490483162518,0.6417711479691912,0.8647379988512053,0.9337539432176656,0.5648854961832062,0.703923900118906,0.8887988328933716,0.05254186303018149,9973,524,9449
