feature,n_illicit,n_licit,illicit_median,illicit_q1,illicit_q3,licit_median,licit_q1,licit_q3,mann_whitney_u,raw_p_value,rank_biserial_correlation,effect_magnitude,direction,time_step,holm_adjusted_p_value_within_time_step
in_degree,17,2130,0.0,0.0,0.0,1.0,0.0,1.0,7807.0,9.187494582946753e-06,-0.5687931510632422,large,lower among illicit-labeled,1,4.5937472914733765e-05
out_degree,17,2130,1.0,1.0,1.0,1.0,1.0,2.0,16454.0,0.4794911245060872,-0.09119027892847276,negligible,lower among illicit-labeled,1,0.8259514570236206
pagerank_relative,17,2130,0.319925457239151,0.319925457239151,0.319925457239151,0.5714684724807739,0.319925457239151,0.8425358533859253,7480.5,2.534266241127625e-05,-0.5868268013000488,large,lower among illicit-labeled,1,0.000101370649645105
clustering,17,2130,0.0,0.0,0.0,0.0,0.0,0.0,17416.5,0.4129757285118103,-0.038028180599212646,negligible,lower among illicit-labeled,1,0.8259514570236206
k_core,17,2130,1.0,1.0,1.0,1.0,1.0,2.0,11716.0,0.0032831167031165255,-0.35288594310963817,moderate,lower among illicit-labeled,1,0.009849350109349576
in_degree,18,1099,0.0,0.0,0.75,1.0,0.0,2.0,5158.5,0.0001907843943443997,-0.47846527145890205,moderate,lower among illicit-labeled,2,0.0007631375773775989
out_degree,18,1099,1.0,0.25,1.0,1.0,1.0,1.0,7769.5,0.08460706865587331,-0.21448791830957437,small,lower among illicit-labeled,2,0.16921413731174662
pagerank_relative,18,1099,0.33450847864151,0.33450847864151,0.4055919051170349,0.6188421845436096,0.33450847864151,1.1532727479934692,4106.5,1.609712853678502e-05,-0.5848245620727539,large,lower among illicit-labeled,2,8.048564268392511e-05
clustering,18,1099,0.0,0.0,0.0,0.0,0.0,0.0,9666.0,0.5186712741851807,-0.022747933864593506,negligible,lower among illicit-labeled,2,0.5186712741851807
k_core,18,1099,1.0,1.0,1.0,1.0,1.0,2.0,5994.0,0.0007348988191712988,-0.39399454049135574,moderate,lower among illicit-labeled,2,0.0022046964575138965
in_degree,11,1268,0.0,0.0,1.0,1.0,0.0,1.0,4491.0,0.029198684214254304,-0.3560367077717236,moderate,lower among illicit-labeled,3,0.11679473685701722
out_degree,11,1268,1.0,0.0,1.0,1.0,0.0,1.0,5266.5,0.12155108992131504,-0.2448379696013765,small,lower among illicit-labeled,3,0.24310217984263008
pagerank_relative,11,1268,0.23933903872966766,0.23933903872966766,0.3410590887069702,0.42310380935668945,0.23933903872966766,0.7240213751792908,3835.0,0.008907279931008816,-0.4501003623008728,moderate,lower among illicit-labeled,3,0.04453639965504408
clustering,11,1268,0.0,0.0,0.0,0.0,0.0,0.0,6853.0,0.6609092354774475,-0.01735013723373413,negligible,lower among illicit-labeled,3,0.6609092354774475
k_core,11,1268,1.0,1.0,1.0,1.0,1.0,2.0,5209.0,0.07835536900116606,-0.2530828792658446,small,lower among illicit-labeled,3,0.23506610700349817
in_degree,30,1410,0.0,0.0,2.0,1.0,1.0,2.0,17066.5,0.052396795060280284,-0.19307328605200946,small,lower among illicit-labeled,4,0.15719038518084086
out_degree,30,1410,1.0,0.0,1.0,1.0,1.0,1.0,17353.5,0.05819157738529706,-0.17950354609929076,small,lower among illicit-labeled,4,0.15719038518084086
pagerank_relative,30,1410,0.31985169649124146,0.31985169649124146,0.6461037993431091,0.6022328734397888,0.3322097063064575,0.9739903807640076,13971.0,0.0013196096988394856,-0.33943259716033936,moderate,lower among illicit-labeled,4,0.006598048494197428
clustering,30,1410,0.0,0.0,0.0,0.0,0.0,0.0,21390.0,0.6818272471427917,0.011347532272338867,negligible,higher among illicit-labeled,4,0.6818272471427917
k_core,30,1410,1.0,1.0,1.0,1.0,1.0,2.0,15894.0,0.005009604839378651,-0.24851063829787234,small,lower among illicit-labeled,4,0.020038419357514603
in_degree,8,1874,0.0,0.0,0.25,1.0,0.0,2.0,3810.0,0.01086254189712142,-0.4917289220917823,moderate,lower among illicit-labeled,5,0.04345016758848568
out_degree,8,1874,1.0,1.0,1.0,1.0,1.0,1.0,6796.5,0.6118939179737357,-0.09331643543223056,negligible,lower among illicit-labeled,5,1.0
pagerank_relative,8,1874,0.3386741280555725,0.3386741280555725,0.34678125381469727,0.6193240880966187,0.3386741280555725,0.9745098352432251,3194.0,0.004307551309466362,-0.5739060640335083,large,lower among illicit-labeled,5,0.02153775654733181
clustering,8,1874,0.0,0.0,0.0,0.0,0.0,0.0,7352.0,0.6933420896530151,-0.019210219383239746,negligible,lower among illicit-labeled,5,1.0
k_core,8,1874,1.0,1.0,1.0,1.0,1.0,2.0,4484.0,0.020899042433790455,-0.4018143009605123,moderate,lower among illicit-labeled,5,0.06269712730137136
in_degree,5,480,1.0,1.0,1.0,1.0,0.0,2.0,822.5,0.21454405291837808,-0.3145833333333333,moderate,lower among illicit-labeled,6,0.807570219039917
