feature,mean_pr_auc_decrease,standard_deviation,rank
feature_53,0.03437726143072617,0.004456690518440252,1
feature_59,0.015477485723594064,0.002024622184489683,2
feature_90,0.013801336725704627,0.00272951474266587,3
feature_3,0.011364000552693532,0.0007204832578387182,4
feature_125,0.006321409716697324,0.0006326654634343307,5
feature_18,0.005715917720575581,0.0005329665313524018,6
feature_127,0.004633056090819298,0.0005725159335083522,7
feature_9,0.0035671165931762117,0.0008126625559901667,8
feature_89,0.003471069490711165,0.0005991072363384666,9
feature_52,0.0034146962881232536,0.0005597887720434758,10
feature_80,0.002720516236201331,0.00047056697771142664,11
feature_161,0.0026068684171066,0.0010966540201032262,12
feature_163,0.002579714378909559,0.00048591237998890977,13
feature_121,0.002169207742768231,0.0008068775697596997,14
feature_102,0.0021037178124234225,0.00026477447795566155,15
feature_154,0.0019428260346409099,0.000406891238816295,16
feature_2,0.0018218808939403752,0.0010544005629513178,17
feature_83,0.0017272821001424131,0.0006657537938231885,18
feature_5,0.001672565808219084,0.0006330439687364255,19
feature_22,0.0013353626765839621,0.0002361383072283678,20
feature_91,0.0012646400945381497,0.0002711710874939947,21
feature_157,0.0010832652344182625,0.00041157505852229456,22
feature_132,0.001075811523298098,0.0009973540435203275,23
feature_159,0.0010062288489201654,0.0004804825505151241,24
feature_17,0.0009095571054442475,0.00019843238646358378,25
feature_23,0.0008504894810644981,0.0004568833089734833,26
feature_31,0.000840760442942945,0.0003646048795134503,27
feature_76,0.0008048711405285625,0.0003355985506756579,28
feature_152,0.0007889401376515393,0.0003006756356838567,29
feature_158,0.0007789456521390514,0.0004590831140269658,30
feature_151,0.0007435450294412726,0.00011996884768399236,31
feature_25,0.0007291677440390831,0.0003930751445001545,32
feature_106,0.0007207838515788323,0.0002284936215121821,33
feature_29,0.0007165100681800762,0.0007287751193651696,34
feature_24,0.0007135620742166448,0.0001840650199714835,35
feature_130,0.0006594408751797509,0.00016727630034086495,36
feature_96,0.000654807910366828,8.878071241762895e-05,37
feature_88,0.0006529303674259301,0.00032319285332497923,38
feature_1,0.0006397395852439702,0.0003773776462833829,39
feature_160,0.0006177879575824718,0.0002513268039282219,40
feature_54,0.0005810837648797529,0.00026669738075549006,41
feature_85,0.0005743618269341555,0.00026440069802717065,42
feature_148,0.0005699524794875677,0.00025560769253620257,43
feature_99,0.0005203906112106749,0.00016845096875347468,44
feature_77,0.0005170316953275522,0.00035360848348486574,45
feature_164,0.000507318819144964,0.0003173483797069644,46
feature_119,0.00044538600315930933,0.00018644940809305676,47
feature_10,0.00042946269438224325,0.00020741171789227873,48
feature_150,0.00042254934528340726,0.00017354711702849537,49
feature_115,0.00036482468323959514,0.0002619611379066923,50
feature_149,0.00036099005839702604,3.127095773290403e-05,51
feature_165,0.0003253406839774708,5.196070705428966e-05,52
feature_104,0.00031849179005845053,0.0001115369186370355,53
feature_138,0.0002980837941585879,0.00037089359977285553,54
feature_60,0.0002917365330403765,0.00013446612972232782,55
