output_path,output_type,run_id,timestamp_utc,source_script_function,stage,model_family,feature_set,hyperparameters,calibration_status,data_split,prediction_file,seed,git_commit,notes
data\processed\node_index.parquet,processed data and manifest,run_20260726T095610Z,2026-07-26T09:56:20+00:00,src.data_loading.build_processed_tables,data_loading,,,{},,,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Unknown labels retained in graph node index and excluded from supervised table.
data\processed\labels.parquet,processed data and manifest,run_20260726T095610Z,2026-07-26T09:56:20+00:00,src.data_loading.build_processed_tables,data_loading,,,{},,,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Unknown labels retained in graph node index and excluded from supervised table.
data\processed\labeled_features.parquet,processed data and manifest,run_20260726T095610Z,2026-07-26T09:56:20+00:00,src.data_loading.build_processed_tables,data_loading,,,{},,,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Unknown labels retained in graph node index and excluded from supervised table.
results\final\data_manifest.json,processed data and manifest,run_20260726T095610Z,2026-07-26T09:56:20+00:00,src.data_loading.build_processed_tables,data_loading,,,{},,,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Unknown labels retained in graph node index and excluded from supervised table.
results\final\label_distribution.csv,EDA table and figure,run_20260726T095610Z,2026-07-26T09:56:21+00:00,src.data_loading.create_eda_outputs,data_loading,,,{},,all nodes for counts; labeled observations for prevalence,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Unknown nodes remain in graph population but are excluded from supervised prevalence.
figures\final\label_distribution.png,EDA table and figure,run_20260726T095610Z,2026-07-26T09:56:21+00:00,src.data_loading.create_eda_outputs,data_loading,,,{},,all nodes for counts; labeled observations for prevalence,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Unknown nodes remain in graph population but are excluded from supervised prevalence.
results\final\transactions_by_time_step.csv,EDA table and figure,run_20260726T095610Z,2026-07-26T09:56:21+00:00,src.data_loading.create_eda_outputs,data_loading,,,{},,all nodes for counts; labeled observations for prevalence,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Unknown nodes remain in graph population but are excluded from supervised prevalence.
figures\final\transactions_by_timestep.png,EDA table and figure,run_20260726T095610Z,2026-07-26T09:56:21+00:00,src.data_loading.create_eda_outputs,data_loading,,,{},,all nodes for counts; labeled observations for prevalence,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Unknown nodes remain in graph population but are excluded from supervised prevalence.
results\final\edge_time_consistency.csv,graph audit,run_20260726T095610Z,2026-07-26T09:56:24+00:00,src.graph_construction.audit_graph,graph_construction,,,{},,"all 203,769 nodes, including unknown labels",,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Every edge checked; no sampling used.
results\final\graph_audit.json,graph audit,run_20260726T095610Z,2026-07-26T09:56:24+00:00,src.graph_construction.audit_graph,graph_construction,,,{},,"all 203,769 nodes, including unknown labels",,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Every edge checked; no sampling used.
