feature,mean_absolute_shap
feature_53,1.2203948
feature_59,0.7009867
feature_90,0.5585845
feature_16,0.3685596
feature_58,0.3448655
feature_132,0.3168366
feature_106,0.31343207
feature_161,0.30329034
feature_47,0.3016242
feature_138,0.29801023
feature_61,0.29460377
feature_3,0.29429427
feature_125,0.2767836
feature_163,0.27046415
feature_121,0.26840985
feature_89,0.247346
feature_2,0.24622016
feature_41,0.23777413
feature_55,0.23619552
feature_80,0.2339156
feature_52,0.20434505
feature_46,0.20082816
feature_8,0.20020019
feature_127,0.1995272
feature_18,0.19832857
feature_102,0.19794625
feature_103,0.19464542
feature_131,0.19195606
feature_139,0.18443231
feature_49,0.17984028
feature_76,0.16691355
feature_1,0.16364296
feature_95,0.1532337
feature_5,0.13826041
feature_88,0.1365859
feature_65,0.1303684
feature_23,0.12532252
feature_77,0.12091197
feature_40,0.12050745
feature_130,0.11902151
feature_79,0.11570403
feature_142,0.11196996
feature_29,0.11130135
feature_100,0.11109169
feature_114,0.10851291
feature_43,0.10754421
feature_64,0.105917886
feature_101,0.105392985
feature_143,0.102304645
feature_145,0.097518936
feature_137,0.09749795
feature_136,0.095052406
feature_67,0.094057314
feature_22,0.09307175
feature_11,0.09293823
feature_73,0.09145432
feature_83,0.08937039
feature_154,0.08913306
feature_94,0.084396794
feature_84,0.083234325
feature_20,0.07917999
feature_9,0.079094976
feature_91,0.07789601
feature_144,0.07773127
feature_160,0.075893216
feature_146,0.07574676
feature_159,0.07535011
feature_30,0.07110032
feature_133,0.069064915
feature_155,0.068056606
feature_148,0.066053994
feature_158,0.06582539
feature_115,0.064859554
feature_107,0.0638342
feature_164,0.062512696
feature_150,0.06176743
feature_152,0.061542924
feature_19,0.060985036
feature_157,0.06047052
feature_151,0.054881193
feature_72,0.054641552
feature_85,0.054097176
feature_135,0.053539418
feature_13,0.05331567
feature_54,0.05150208
feature_25,0.05093368
feature_97,0.047489375
feature_162,0.04665486
feature_28,0.045267437
feature_24,0.045229107
feature_108,0.044374473
feature_42,0.043770302
feature_109,0.042222608
feature_10,0.03951967
feature_119,0.03654235
feature_71,0.03328418
feature_110,0.03275316
feature_78,0.03070489
feature_140,0.030522376
feature_156,0.028980276
feature_147,0.028582323
feature_96,0.027661437
feature_81,0.027288163
feature_112,0.026256027
feature_98,0.026216814
feature_66,0.026007198
feature_48,0.025646271
feature_60,0.02538001
feature_92,0.025350915
feature_149,0.02493695
feature_99,0.024670916
feature_122,0.023780199
feature_17,0.02369297
feature_165,0.023470392
feature_113,0.0232975
feature_126,0.023282362
feature_12,0.021772867
feature_31,0.021748696
feature_104,0.020714954
feature_93,0.020647464
feature_57,0.020299256
feature_14,0.019848166
feature_44,0.019110663
feature_124,0.017664522
feature_111,0.01711523
feature_4,0.016840197
feature_134,0.016065879
feature_86,0.015091761
feature_27,0.012976043
feature_62,0.0124411415
feature_105,0.0106784385
feature_56,0.010212741
feature_26,0.009470786
feature_120,0.008833085
feature_51,0.008133279
feature_21,0.007829406
feature_117,0.0076322504
feature_68,0.007451138
feature_87,0.0066132075
feature_123,0.00613829
feature_45,0.005597042
feature_116,0.0037178453
feature_35,0.003483045
feature_34,0.0034462947
feature_32,0.0033439167
feature_118,0.0030322263
feature_153,0.0025589648
feature_6,0.0023701452
feature_50,0.0023165205
feature_141,0.0021143272
feature_37,0.0019704285
feature_74,0.0015689951
feature_82,0.0014443474
feature_69,0.0010739892
feature_39,0.0005444904
feature_7,0.0
feature_15,0.0
feature_36,0.0
feature_33,0.0
feature_38,0.0
feature_63,0.0
feature_75,0.0
feature_70,0.0
feature_128,0.0
feature_129,0.0
