time_step,snapshot_size,weak_component_size_unique_values,labeled_count,illicit_count,illicit_prevalence
1,7880,1,2147,17,0.007918025151374011
2,4544,1,1117,18,0.01611459265890779
3,6621,1,1279,11,0.008600469116497263
4,5693,1,1440,30,0.020833333333333332
5,6803,1,1882,8,0.004250797024442083
6,4328,1,485,5,0.010309278350515464
7,6048,1,1203,102,0.08478802992518704
8,4457,1,1165,67,0.05751072961373391
9,4996,1,778,248,0.31876606683804626
10,6727,1,972,18,0.018518518518518517
11,4296,1,696,131,0.1882183908045977
12,2047,1,506,16,0.03162055335968379
13,4528,1,809,291,0.35970333745364647
14,2022,1,417,43,0.10311750599520383
15,3639,1,618,147,0.23786407766990292
16,2975,1,530,128,0.24150943396226415
17,3385,1,811,99,0.1220715166461159
18,1976,1,389,52,0.13367609254498714
19,3506,1,745,80,0.10738255033557047
20,4291,1,900,260,0.28888888888888886
21,3537,1,641,100,0.15600624024961
22,5894,1,1763,158,0.08961996596710153
23,4165,1,1187,53,0.04465037910699242
24,4592,1,1126,137,0.1216696269982238
25,2314,1,594,118,0.19865319865319866
26,2523,1,517,96,0.18568665377176016
27,1089,1,206,24,0.11650485436893204
28,1653,1,284,85,0.2992957746478873
29,4275,1,1174,329,0.28023850085178875
30,2483,1,524,83,0.15839694656488548
31,2816,1,710,106,0.14929577464788732
32,4525,1,1323,342,0.2585034013605442
33,3151,1,441,23,0.05215419501133787
34,2486,1,515,37,0.07184466019417475
35,5507,1,1341,182,0.13571961222967935
36,6393,1,1708,33,0.019320843091334895
37,3306,1,498,40,0.08032128514056225
38,2891,1,756,111,0.14682539682539683
39,2760,1,1183,81,0.06846999154691462
40,4481,1,1211,112,0.09248554913294797
41,5342,1,1132,116,0.10247349823321555
42,7140,1,2154,239,0.11095636025998143
43,5063,1,1370,24,0.017518248175182483
44,4975,1,1591,24,0.01508485229415462
45,5598,1,1221,5,0.004095004095004095
46,3519,1,712,2,0.0028089887640449437
47,5121,1,846,22,0.026004728132387706
48,2954,1,471,36,0.07643312101910828
49,2454,1,476,56,0.11764705882352941
