feature,mean_abs_shap
feature_53,0.82176477
feature_59,0.51164705
feature_90,0.43114045
feature_125,0.41468987
feature_16,0.35821295
feature_127,0.3521823
feature_161,0.34211
feature_47,0.30365506
feature_3,0.29502335
feature_76,0.2852845
feature_52,0.26889727
feature_138,0.24909592
feature_95,0.24617672
feature_163,0.21663713
feature_132,0.21545134
feature_103,0.19932212
feature_1,0.19589226
feature_89,0.19377196
feature_2,0.19368103
feature_8,0.18967064
feature_64,0.18937229
feature_58,0.18586048
feature_55,0.18048288
feature_80,0.1787817
feature_139,0.1694999
feature_43,0.16496398
feature_65,0.16431476
feature_14,0.16026913
feature_106,0.15649852
feature_83,0.15151812
feature_41,0.14662991
feature_155,0.13840254
feature_61,0.13233915
feature_131,0.12811334
feature_94,0.124363795
feature_102,0.12338116
feature_5,0.12320865
feature_109,0.12303566
feature_136,0.11996709
feature_9,0.11898527
feature_18,0.11710566
feature_121,0.11541328
feature_154,0.10747977
feature_20,0.10686446
feature_107,0.10419828
feature_137,0.103553385
feature_11,0.10140559
feature_101,0.099669375
feature_100,0.09772534
feature_79,0.09717829
feature_130,0.095347404
feature_143,0.091961905
feature_144,0.08883346
feature_97,0.087314285
feature_114,0.0870829
feature_23,0.08401749
feature_142,0.081467904
feature_157,0.08113703
feature_88,0.08001195
feature_115,0.07874469
feature_67,0.078537874
feature_40,0.07724196
feature_108,0.07561223
feature_46,0.07333421
feature_91,0.07210172
feature_30,0.06813917
feature_77,0.06747519
feature_146,0.0665576
feature_31,0.06535935
feature_133,0.06510517
feature_147,0.063543886
feature_149,0.06279904
feature_73,0.061690453
feature_151,0.060961593
feature_78,0.059589066
feature_13,0.05781091
feature_164,0.057662465
feature_158,0.05753597
feature_150,0.05745379
feature_29,0.056819446
feature_159,0.05487296
feature_156,0.05461803
feature_49,0.05441593
feature_54,0.05413031
feature_148,0.050323345
feature_48,0.049970653
feature_71,0.04992063
feature_99,0.049824886
feature_160,0.047097445
feature_84,0.045766596
feature_145,0.045368277
feature_25,0.044589836
feature_17,0.04186604
feature_12,0.039156035
feature_126,0.03897899
feature_162,0.038505927
feature_98,0.037384607
feature_119,0.0348791
feature_19,0.03276134
feature_6,0.031302292
feature_120,0.030846525
feature_42,0.03048147
feature_92,0.030388977
feature_116,0.029780438
feature_10,0.029299594
feature_60,0.029136108
feature_57,0.028170932
feature_140,0.027856527
feature_134,0.025857091
feature_72,0.025298048
feature_26,0.02426226
feature_113,0.023693614
feature_165,0.023591796
feature_22,0.023375168
feature_44,0.02265105
feature_81,0.022559999
feature_87,0.022118792
feature_4,0.021205902
feature_122,0.021152142
feature_45,0.020522444
feature_28,0.018618822
feature_135,0.017364055
feature_56,0.016846914
feature_62,0.016752737
feature_85,0.016474674
feature_104,0.0137430085
feature_86,0.013733512
feature_63,0.013656694
feature_112,0.013101342
feature_33,0.012920345
feature_124,0.012701487
feature_153,0.012598154
feature_27,0.012234161
feature_118,0.011904597
feature_123,0.011282977
feature_152,0.011064072
feature_24,0.010611477
feature_141,0.009080018
feature_51,0.0086955195
feature_110,0.008604558
feature_68,0.008113734
feature_105,0.007802329
feature_66,0.0075934767
feature_74,0.006376396
feature_35,0.0063348105
feature_111,0.0062206415
feature_32,0.0060721533
feature_96,0.005738084
feature_37,0.0027782833
feature_82,0.00067860744
feature_36,0.0
feature_15,0.0
feature_21,0.0
feature_7,0.0
feature_34,0.0
feature_38,0.0
feature_39,0.0
feature_93,0.0
feature_70,0.0
feature_75,0.0
feature_69,0.0
feature_50,0.0
feature_128,0.0
feature_117,0.0
feature_129,0.0
